source_id,ra_gaia,dec_gaia,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc,absolute_g_mag,obsid,designation,gaia_source_id,ra_lamost,dec_lamost,snrg,class,subclass,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,id_match_sep_arcsec,pm_total,tangential_velocity_kms,reduced_pm_g,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate
3083776554204782464,121.98054158578236,0.5086152340951485,2.048640959672363,143.11948,0.0840552748530643,-7.210149944984258,12.317138,0.85641,0.89691824,488.12848111751555,3.8744669760529664,122507044,J080755.33+003031.0,3083776554204782464,121.98055,0.5086282,66.6,STAR,G4,5579.99,37.43,3.998,0.053,-0.076,0.032,26.07,4.99,0.0556439561521473,7.210639882727962,16.68512087659425,6.607007031785036,solar_like,False,False,False
3084461004490554496,121.06612850968912,0.6161668447265837,1.9894778344912791,111.89149,-29.824895211162136,6.964485554793475,12.480106,0.76658535,1.025475,502.64445406887666,3.973801878128949,122502056,J080415.87+003658.1,3084461004490554496,121.06616,0.6161596,77.74,STAR,G2,5815.03,31.6,4.046,0.044,-0.516,0.026,53.72,4.25,0.1163201762069581,30.62724985041473,72.97772138060579,9.910646007145553,metal_poor,False,True,False
3084528693174835456,120.89086180005144,0.8718749764613294,0.7326741719448794,23.775639,-0.321703578226131,-6.5804740840645035,14.862106,0.95299435,0.9483439,1364.8631796935133,4.186660734059066,869905217,J080333.79+005218.8,3084528693174835456,120.890833,0.871914,69.19,STAR,G6,5624.69,29.75,4.287,0.042,0.172,0.025,0.23,3.97,0.1745939679669139,6.588333048904561,42.62712726099787,8.955983726050736,solar_like,False,False,False
3084917233096863360,120.50745399468744,1.8386946855170696,0.6268131245678819,24.577515,-9.205148227743251,1.5495991934146658,14.732876,0.8031416,0.9429065,1595.3718274316434,3.7185662309514207,869903030,J080201.78+015019.3,3084917233096863360,120.507452,1.838704,90.51,STAR,G2,5845.91,29.15,4.079,0.041,-0.04,0.024,74.89,4.04,0.0342916344421187,9.334667190369247,70.59633572037227,9.583370193127289,solar_like,False,False,False
3084600539388846464,121.87729767066274,1.2394627352153902,1.6381869737968346,55.94468,-4.077169698754103,-7.031949940096399,14.587931,1.0319614,1.0073297,610.4309312643933,5.659748020698748,869908192,J080730.55+011422.1,3084600539388846464,121.877293,1.239475,77.15,STAR,G9,5171.35,23.56,4.583,0.033,-0.028,0.02,-17.61,3.17,0.0472450899786773,8.128445897738409,23.521523819435984,9.13796859724824,solar_like,False,False,False
3084684892546359168,120.27691741896568,0.6529958346306075,1.8793073826157325,154.94383,7.074224401287723,-5.617564712688569,12.454367,0.8869114,0.8376968,532.1109304685114,3.824355783121326,173002145,J080106.45+003910.8,3084684892546359168,120.2769,0.6530142,67.87,STAR,G5,5601.52,29.0,4.014,0.041,0.428,0.025,16.4,3.87,0.0911210952756745,9.033365053014212,22.786264997937433,7.233614805676771,metal_rich,False,False,False
3084853323983736064,120.92290923980298,1.5950387849910497,2.155278574581867,149.21596,-22.97004826448251,25.151841070154543,12.480885,0.7769165,0.96859956,463.9771451326211,4.148401610297025,122503007,J080341.50+013542.0,3084853323983736064,120.92294,1.595022,88.1,STAR,G3,5906.77,31.05,4.256,0.043,-0.032,0.026,25.76,4.27,0.1261127094543464,34.06226983762193,74.91893168774145,10.142252925283266,solar_like,False,False,False
3084797936085163136,120.18610474203992,1.4228674281215183,0.3703098187545936,13.945684,-0.8835703717161314,0.3171831212589542,14.851291,1.1083841,1.0077186,2700.441493458497,2.6941168403612004,869910120,J080044.66+012522.3,3084797936085163136,120.186091,1.422864,85.27,STAR,G8,5060.81,22.93,3.513,0.032,-0.123,0.019,15.4,3.13,0.0509726490187056,0.9387767222221454,12.017620551783462,4.714102561770568,solar_like,False,False,False
3084839202131449984,121.0886858647366,1.5094436704469452,2.5309477756609833,156.21559,-17.884327800459936,14.05396762512369,12.763598,0.8983078,1.0675957,395.1089033193661,4.780014361515184,173005055,J080421.29+013034.0,3084839202131449984,121.08871,1.5094477,68.41,STAR,G4,5507.71,24.99,4.534,0.035,-0.408,0.021,12.88,3.33,0.0880598589568489,22.745619070105104,42.602587801362894,9.548086807846081,solar_like,False,False,False
3084866689922110976,121.20638942525956,1.697497616946858,2.524614237477992,112.87733,3.2205369018116308,-22.6743486240978,14.575319,1.3583202,0.9825059,396.1001190419363,6.586294425536181,869904144,J080449.52+014151.1,3084866689922110976,121.206372,1.697536,84.8,STAR,K3,4722.44,33.2,4.415,0.046,-0.262,0.027,68.82,4.52,0.1517404052673094,22.90192008245283,43.002952087333135,11.37467847420098,solar_like,False,False,False
3084095141996411264,120.42456051574436,0.1926862162772909,3.308112048653431,203.223,11.859200383199305,-2.526099327491513,11.948856,0.95561886,1.1825026,302.28722162148364,4.546757409080943,122502107,J080141.87+001133.7,3084095141996411264,120.42449,0.192704,78.65,STAR,G9,5480.33,34.72,4.567,0.049,0.213,0.029,0.14,4.67,0.2618037906389084,12.125255112418362,17.37529057583249,7.36731042410347,metal_rich,False,False,False
3084028862061374720,120.86538566871722,0.0556497608815426,10.08875104801081,696.0199,-53.11848282938537,7.315628044569818,9.786464,0.9718962,0.9952418,99.12029697642,4.805650764643557,334009076,J080327.63+000322.5,3084028862061374720,120.86561389,0.05561417,82.01,STAR,G7,5348.27,30.31,4.611,0.042,0.041,0.025,20.63,4.11,0.8315268720564618,53.61988093778468,25.194737760850714,8.433093226514748,solar_like,False,False,False
3084028862061374720,120.86538566871722,0.0556497608815426,10.08875104801081,696.0199,-53.11848282938537,7.315628044569818,9.786464,0.9718962,0.9952418,99.12029697642,4.805650764643557,334201232,J080327.63+000322.5,3084028862061374720,120.86561389,0.05561417,116.57,STAR,G7,5404.42,45.11,4.668,0.062,0.056,0.035,27.65,6.81,0.8315268720564618,53.61988093778468,25.194737760850714,8.433093226514748,solar_like,False,False,False
3084098440531260416,120.45744503465468,0.2979535209453363,5.625499625224285,389.22348,-1.4711320687780656,8.189643025266395,12.22808,1.1172724,0.9895182,177.7619885558397,5.9788852962806,173002024,J080149.78+001752.5,3084098440531260416,120.45745,0.297923,75.28,STAR,K2,4966.2,25.19,4.659,0.035,0.129,0.021,20.91,3.38,0.1113198989736765,8.320726076796529,7.011670957794975,6.828886125076023,solar_like,False,False,False
3084300235275437696,120.03171365474668,0.4538956846419453,1.30299548196029,42.820522,-7.537653257463649,-10.928430837411264,15.187169,1.0724678,1.0040785,767.4623694746441,5.761883624169464,869902133,J080007.61+002714.0,3084300235275437696,120.031727,0.453893,63.44,STAR,K0,5137.82,36.99,4.646,0.052,-0.193,0.032,21.97,4.94,0.0490039098423616,13.275798175546125,48.29911066349277,10.80247220726641,solar_like,False,False,False
3084907612370331904,120.82303560285504,1.7773545737258942,1.1748704324494392,92.56912,4.516137673647089,-9.573185646485571,12.174571,0.7649727,0.89893305,851.1576871631206,2.5245209083101923,173003017,J080317.52+014638.5,3084907612370331904,120.82304,1.7773876,88.43,STAR,G2,5927.87,23.81,4.018,0.033,-0.244,0.02,-47.74,3.28,0.1199427438648216,10.584960222382128,42.7091234909899,7.298017151535111,solar_like,False,False,False
3084645889945851264,121.15408343401457,1.330113872426926,1.3235165845388923,90.439415,-7.485684657552499,-5.3438566481355885,12.55011,1.1330891,0.99716383,755.5628782304952,3.158756801625241,122405162,J080436.97+011948.4,3084645889945851264,121.15408,1.3301296,63.13,STAR,K1,4961.58,24.44,3.688,0.035,0.023,0.021,64.29,3.26,0.0579524704288468,9.19740608368141,32.94256235761434,7.368436809345306,solar_like,False,False,False
3084645889945851264,121.15408343401457,1.330113872426926,1.3235165845388923,90.439415,-7.485684657552499,-5.3438566481355885,12.55011,1.1330891,0.99716383,755.5628782304952,3.158756801625241,173005162,J080436.97+011948.4,3084645889945851264,121.15408,1.3301296,66.01,STAR,K0,4943.83,28.42,3.642,0.04,0.012,0.024,66.27,3.79,0.0579524704288468,9.19740608368141,32.94256235761434,7.368436809345306,solar_like,False,False,False
